Observer;SessionID;Block;Occluder;Color;Event;Value;Time;RelativeLocation;Direction
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,618;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,629;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,636;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,646;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,652;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,662;1,01811;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,668;1,01811;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,679;1,02661;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,686;1,02661;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,696;1,01811;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,702;1,01811;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,712;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,718;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,729;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,736;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,746;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,752;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,762;1,01811;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,77;1,01811;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,779;1,02661;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,786;1,02661;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,796;1,01811;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,802;1,01811;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,812;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,819;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,829;1,01761;1
